"Kod";"Nazwa";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
0413000;"Powiat sępoleński";3077,03;3148,04;3232,37;3324,28;3529,86;3730,47;3977,99;4308,57;4702,98;5229,53;5892,07;
0414000;"Powiat świecki";3343,53;3482,66;3516,40;3630,37;3882,92;4170,33;4580,35;4858,33;5211,03;5795,79;6561,15;
0415000;"Powiat toruński";2911,23;3036,13;3107,90;3298,27;3483,08;3726,88;4027,12;4394,70;4737,52;5441,72;6185,35;
0416000;"Powiat tucholski";2882,14;2983,14;3067,37;3154,01;3353,75;3600,87;3919,91;4208,91;4640,12;5164,79;5840,11;
0417000;"Powiat wąbrzeski";3132,56;3204,19;3336,63;3478,59;3741,15;3934,94;4334,78;4709,17;5091,85;5653,97;6249,49;
0418000;"Powiat włocławski";2883,38;3058,58;3137,40;3269,66;3503,37;3771,18;4107,48;4383,49;4807,59;5289,63;5925,34;
0419000;"Powiat żniński";2877,89;2927,35;3042,27;3140,27;3363,90;3654,34;3896,63;4285,37;4600,57;5169,82;5985,65;
0461000;"Powiat m. Bydgoszcz";3589,06;3677,79;3850,09;3950,95;4185,10;4481,39;4957,38;5252,17;5848,22;6435,59;7478,19;
0462000;"Powiat m. Grudziądz";3021,42;3196,00;3212,29;3323,90;3513,56;3743,06;3976,49;4414,17;4825,20;5299,09;6034,07;
0463000;"Powiat m. Toruń";3719,69;3876,00;3991,61;4170,83;4384,59;4629,36;4980,31;5331,63;5841,99;6450,47;7308,74;
0464000;"Powiat m. Włocławek";3419,98;3530,87;3631,31;3770,16;3941,33;4166,00;4505,60;4889,30;5294,49;5892,16;6687,25;
0601000;"Powiat bialski";2949,52;3045,06;3127,01;3184,04;3409,49;3668,41;3991,12;4258,54;4594,45;5288,19;5953,72;
0602000;"Powiat biłgorajski";3088,20;3200,89;3343,68;3530,69;3699,34;3907,04;4176,81;4522,48;4781,00;5109,51;5694,27;
0603000;"Powiat chełmski";3021,08;3150,13;3251,54;3333,95;3410,65;3648,16;3921,71;4291,62;4637,15;5126,89;5793,46;
0604000;"Powiat hrubieszowski";3116,46;3194,54;3275,78;3425,56;3572,95;3821,25;4205,48;4518,56;5019,57;5487,37;6247,83;
0605000;"Powiat janowski";3100,51;3321,20;3436,38;3485,33;3657,09;4007,96;4225,92;4437,27;5061,82;5574,12;6336,93;
0606000;"Powiat krasnostawski";3128,85;3236,28;3315,19;3412,40;3619,20;3862,53;4096,88;4548,95;4843,32;5376,97;6131,62;
0607000;"Powiat kraśnicki";2953,64;3125,11;3197,23;3327,58;3459,00;3691,03;3961,16;4244,39;4683,04;5139,37;5937,05;
0608000;"Powiat lubartowski";2993,79;3089,12;3144,70;3237,98;3419,63;3635,35;4003,85;4369,45;4824,58;5250,01;5894,65;
0609000;"Powiat lubelski";3029,43;3141,58;3239,53;3308,85;3527,13;3673,03;3943,73;4253,09;4615,93;5115,88;5868,83;
0610000;"Powiat łęczyński";5138,84;5375,67;5112,84;5294,68;5512,40;5772,29;6177,04;6391,65;7165,63;8543,50;10420,06;
0611000;"Powiat łukowski";2883,30;2955,72;3065,51;3238,34;3403,31;3578,47;3846,62;4146,78;4562,15;5256,57;5816,88;
0612000;"Powiat opolski";3020,99;3129,37;3257,97;3344,45;3490,05;3692,97;3927,80;4252,35;4547,18;5132,54;5808,93;
0613000;"Powiat parczewski";3037,61;3169,06;3217,95;3352,33;3565,96;3764,14;4092,69;4478,61;4881,98;5399,11;6140,77;
0614000;"Powiat puławski";3785,23;3855,51;4022,67;4160,35;4440,23;4615,24;4902,81;5311,80;5680,00;6254,05;6871,29;
