"Kod";"Nazwa";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
1601000;"Powiat brzeski";3198,10;3400,47;3546,88;3642,69;3858,63;4227,04;4546,01;4825,14;5157,08;5723,46;6555,17;
1602000;"Powiat głubczycki";3185,50;3299,08;3354,70;3495,36;3658,51;3924,49;4341,64;4703,75;5181,69;5978,21;6876,31;
1603000;"Powiat kędzierzyńsko-kozielski";4010,56;4241,22;4444,99;4627,08;4811,98;4928,19;5204,96;5572,19;6015,26;6760,49;7528,75;
1604000;"Powiat kluczborski";3236,92;3381,34;3529,72;3641,66;3939,54;4159,52;4291,66;4777,86;5108,36;5681,23;6450,59;
1605000;"Powiat krapkowicki";3881,81;4125,02;4183,01;4270,15;4462,89;4858,78;5156,01;5548,87;5787,32;6424,68;7254,86;
1606000;"Powiat namysłowski";3278,50;3446,82;3609,87;3724,71;3905,34;4176,14;4502,51;4807,10;5293,47;5829,33;6620,13;
1607000;"Powiat nyski";3117,30;3227,41;3337,24;3440,51;3631,95;3875,88;4218,98;4637,57;5053,60;5717,73;6422,66;
1608000;"Powiat oleski";3086,82;3178,31;3321,49;3407,23;3636,42;3827,13;4176,75;4479,24;4916,44;5527,82;6255,53;
1609000;"Powiat opolski";3022,58;3210,87;3376,90;3549,59;3653,33;4018,89;4371,57;4720,08;5101,21;5740,58;6431,26;
1610000;"Powiat prudnicki";3216,69;3265,40;3329,80;3464,23;3609,33;3847,86;4101,26;4446,16;4808,55;5463,74;6491,85;
1611000;"Powiat strzelecki";3292,79;3434,30;3575,74;3699,13;3965,93;4049,69;4494,88;4854,78;5238,85;6081,35;6878,52;
1661000;"Powiat m. Opole";3872,66;4009,85;4225,15;4378,37;4615,56;4797,19;5147,55;5523,14;6011,09;6560,39;7516,59;
1801000;"Powiat bieszczadzki";3237,17;3378,84;3448,24;3588,01;3726,11;3972,47;4270,42;4445,97;5297,99;5747,22;6326,11;
1802000;"Powiat brzozowski";2964,62;3077,51;3162,84;3285,48;3476,04;3714,87;3915,60;4206,54;4619,14;5049,05;5779,73;
1803000;"Powiat dębicki";3165,79;3290,06;3401,58;3525,09;3746,14;3965,70;4304,06;4631,33;5047,12;5507,67;6182,14;
1804000;"Powiat jarosławski";3328,63;3438,32;3546,57;3711,73;3728,42;3958,11;4245,21;4541,33;4926,98;5308,03;6081,53;
1805000;"Powiat jasielski";3038,82;3138,20;3262,91;3365,86;3569,68;3813,37;4117,45;4560,20;4953,43;5453,40;6179,28;
1806000;"Powiat kolbuszowski";2929,58;3038,55;3112,52;3309,67;3423,86;3611,09;3924,85;4220,93;4624,19;5082,42;5770,90;
1807000;"Powiat krośnieński";2887,05;2958,89;3021,31;3121,37;3251,14;3498,74;3790,78;4050,39;4432,75;4841,46;5553,11;
1808000;"Powiat leżajski";3146,29;3225,11;3302,16;3400,62;3606,75;3843,24;4150,73;4435,95;4829,48;5374,02;6013,13;
1809000;"Powiat lubaczowski";2951,96;3058,68;3168,23;3248,35;3383,62;3640,18;3842,69;4214,71;4600,59;5116,12;5984,93;
1810000;"Powiat łańcucki";2890,03;3008,61;3115,76;3236,11;3414,92;3621,06;3896,00;4327,10;4735,69;5344,40;5930,62;
1811000;"Powiat mielecki";3329,68;3485,31;3532,30;3699,88;4000,48;4289,29;4532,27;4729,31;5233,93;5845,43;6434,27;
1812000;"Powiat niżański";2890,57;2978,46;3017,94;3097,08;3248,21;3475,10;3793,53;4197,13;4530,20;5022,68;5686,54;
1813000;"Powiat przemyski";3036,69;3135,55;3195,46;3297,50;3447,08;3582,09;3784,27;4126,82;4472,14;5052,75;5709,00;
1814000;"Powiat przeworski";2931,78;2977,07;3130,09;3195,80;3336,59;3622,54;3936,52;4255,41;4697,54;5110,08;5818,63;
1815000;"Powiat ropczycko-sędziszowski";3138,68;3236,75;3365,62;3472,89;3675,99;3898,22;4216,57;4401,73;4730,10;5343,80;6169,80;
1816000;"Powiat rzeszowski";3070,98;3200,41;3333,91;3520,65;3693,03;3979,24;4304,89;4614,22;4995,32;5684,10;6505,42;
1817000;"Powiat sanocki";3078,45;3153,53;3251,52;3389,95;3626,55;3874,15;4160,41;4431,17;4903,78;5266,08;6027,66;
1818000;"Powiat stalowowolski";3360,58;3513,55;3651,26;3809,71;4049,03;4272,16;4611,67;4777,46;5263,24;5817,58;6705,72;
1819000;"Powiat strzyżowski";2786,37;2891,28;2990,08;3088,30;3209,49;3459,69;3686,34;4052,65;4406,16;4831,84;5641,69;
1820000;"Powiat tarnobrzeski";3326,40;3496,49;3531,20;3636,86;3879,26;4150,05;4329,59;4723,98;5181,79;5746,03;6404,66;
1821000;"Powiat leski";3283,39;3361,02;3504,61;3712,64;3945,70;4172,71;4450,43;4832,85;5247,07;5831,15;6434,16;
1861000;"Powiat m. Krosno";2980,59;3099,79;3266,12;3438,78;3608,07;3875,04;4217,51;4424,93;4981,20;5420,94;6135,13;
1862000;"Powiat m. Przemyśl";3325,50;3407,88;3501,18;3628,24;3633,05;3828,38;4078,09;4522,95;5100,21;5454,18;6251,54;
1863000;"Powiat m. Rzeszów";3859,86;4087,48;4231,81;4319,48;4510,48;4802,41;5117,26;5518,24;6072,54;6508,96;7428,94;
1864000;"Powiat m. Tarnobrzeg";3200,51;3195,25;3284,02;3395,51;3610,23;3808,19;4146,90;4578,25;5062,44;5478,64;6266,91;
2001000;"Powiat augustowski";3577,16;3667,63;3761,95;3816,77;4024,64;4262,39;4634,41;5009,19;5452,84;6050,82;6705,11;
2002000;"Powiat białostocki";3098,95;3227,35;3338,72;3443,05;3614,69;3923,93;4189,60;4456,25;4979,46;5597,60;6296,44;
2003000;"Powiat bielski";3988,22;3938,92;3924,61;4272,54;4659,62;4953,29;5295,45;5547,83;6292,55;6839,68;7541,54;
2004000;"Powiat grajewski";3781,24;3958,15;3984,35;4017,84;4329,42;4556,32;4758,98;4970,21;5526,33;6144,83;6782,16;
2005000;"Powiat hajnowski";3317,56;3538,52;3715,52;3783,18;4149,69;4389,58;4690,11;5165,59;5821,15;6773,76;6831,47;
2006000;"Powiat kolneński";3208,86;3314,55;3393,65;3536,15;3683,54;3859,50;4089,17;4475,28;4825,66;5471,56;6250,52;
2007000;"Powiat łomżyński";3409,11;3525,59;3708,32;3837,54;4066,19;4368,68;4589,37;5174,98;5432,47;6087,64;7019,38;
2008000;"Powiat moniecki";3272,87;3358,70;3364,02;3483,37;3651,65;3933,72;4216,50;4601,73;4979,24;5531,47;6314,59;
2009000;"Powiat sejneński";3380,72;3425,25;3564,40;3686,01;3825,14;4092,18;4327,40;4486,11;4537,00;6308,40;7487,35;
2010000;"Powiat siemiatycki";3016,98;3157,37;3220,48;3345,77;3581,00;3773,68;4231,02;4473,99;4834,47;5439,21;6192,78;
2011000;"Powiat sokólski";3204,46;3339,03;3408,27;3499,04;3662,06;3951,21;4200,08;4528,86;4968,42;5506,16;6226,76;
2012000;"Powiat suwalski";2975,50;3114,10;3120,95;3173,63;3556,25;3762,50;3871,65;4201,41;4724,29;5323,60;6099,96;
2013000;"Powiat wysokomazowiecki";3373,05;3421,03;3552,72;3735,63;4225,48;4416,09;4733,72;5071,35;5395,07;6070,52;6748,30;
2014000;"Powiat zambrowski";3194,29;3380,00;3473,68;3660,67;3933,11;4196,08;4371,63;4775,36;5085,38;5601,17;6505,09;
2061000;"Powiat m. Białystok";3627,02;3706,73;3844,68;3967,71;4164,59;4396,32;4744,13;5126,79;5650,97;6183,98;7089,31;
2062000;"Powiat m. Łomża";3120,07;3207,62;3338,23;3444,02;3665,03;4056,02;4417,66;4872,37;5352,29;5827,01;6702,05;
2063000;"Powiat m. Suwałki";3125,48;3260,75;3435,66;3493,66;3716,08;4006,38;4297,01;4562,69;4966,63;5547,59;6329,52;
2201000;"Powiat bytowski";3133,22;3310,31;3447,30;3602,02;3817,07;4214,69;4489,50;4905,51;5373,68;5961,47;6650,73;
2202000;"Powiat chojnicki";2941,87;3043,10;3133,05;3275,78;3479,72;3761,95;4051,60;4395,70;4805,13;5433,86;6114,44;
2203000;"Powiat człuchowski";3170,99;3267,55;3384,44;3480,17;3697,11;3979,20;4292,17;4569,32;5002,55;5613,05;6355,73;
2204000;"Powiat gdański";3408,99;3646,31;3806,02;3950,76;4191,00;4438,86;4678,84;5014,67;5484,63;6466,20;6959,38;
2205000;"Powiat kartuski";3110,80;3217,20;3275,79;3477,69;3717,51;3957,61;4239,41;4508,01;4933,56;5651,36;6298,93;
2206000;"Powiat kościerski";2919,89;3004,92;3117,95;3285,04;3433,93;3720,35;3966,09;4328,66;4810,12;5458,75;6159,34;
2207000;"Powiat kwidzyński";3524,89;3675,82;3771,88;3890,63;4097,28;4362,36;4567,79;4824,01;5205,22;5839,35;6579,01;
2208000;"Powiat lęborski";3292,33;3459,86;3554,76;3705,38;3918,71;4203,78;4493,51;4800,59;5316,30;5918,89;6600,16;
2209000;"Powiat malborski";3387,60;3375,47;3408,03;3496,46;3694,08;3868,76;4239,59;4559,54;4873,92;5340,19;6077,46;
2210000;"Powiat nowodworski";3209,61;3350,00;3422,12;3563,66;3846,11;4065,87;4369,99;4735,14;5077,72;5749,44;6456,26;
2211000;"Powiat pucki";3361,03;3505,43;3584,09;3779,75;3942,25;4198,77;4402,51;4741,10;5205,94;5893,38;6686,91;
2212000;"Powiat słupski";3128,75;3409,29;3497,25;3642,86;3870,93;4149,86;4391,83;4696,62;5105,88;5628,96;6357,82;
2213000;"Powiat starogardzki";3388,99;3443,68;3560,38;3643,85;4026,19;4323,80;4543,48;4969,91;5635,66;6430,22;7046,42;
2214000;"Powiat tczewski";3626,76;3766,37;3821,28;3960,08;4242,41;4392,16;4663,54;5031,71;5455,53;6105,39;6836,04;
2215000;"Powiat wejherowski";3194,41;3302,51;3441,57;3554,31;3763,49;4046,77;4306,07;4620,89;5056,01;5557,82;6276,90;
2216000;"Powiat sztumski";3261,74;3461,78;3455,74;3512,00;3709,56;3982,12;4306,45;4719,00;4984,90;5597,89;6362,83;
2261000;"Powiat m. Gdańsk";4562,66;4814,14;4992,14;5118,59;5312,48;5642,00;6154,35;6490,53;7084,42;7876,68;8915,97;
2262000;"Powiat m. Gdynia";4298,33;4457,62;4566,82;4798,54;5045,45;5347,46;5624,49;5848,66;6298,57;6985,73;7890,40;
2263000;"Powiat m. Słupsk";3330,92;3384,58;3478,22;3620,36;3840,62;4057,24;4287,66;4841,90;5375,69;5904,49;6870,69;
2264000;"Powiat m. Sopot";4500,07;4646,29;4836,93;5104,38;5313,49;5700,74;6064,20;6529,10;7331,15;7701,83;8478,32;
2401000;"Powiat będziński";3228,89;3281,19;3451,24;3586,29;3822,99;4066,61;4360,09;4643,65;5088,35;5671,96;6502,13;
2402000;"Powiat bielski";3342,60;3453,12;3613,20;3739,69;3999,45;4210,20;4564,32;4819,89;5205,16;5875,70;6612,98;
2403000;"Powiat cieszyński";3177,66;3293,73;3455,64;3565,79;3773,12;4107,37;4395,74;4660,69;5109,39;5838,18;6529,01;
2404000;"Powiat częstochowski";2939,83;3097,47;3209,23;3372,48;3640,22;3922,86;4310,92;4603,86;5015,76;5774,96;6483,73;
2405000;"Powiat gliwicki";3151,80;3249,88;3420,49;3564,05;3812,53;4152,62;4432,82;4696,57;5062,72;6067,07;6931,46;
2406000;"Powiat kłobucki";2793,04;2871,64;2978,56;3070,12;3275,42;3463,10;3683,38;4087,42;4435,67;5132,42;6030,62;
2407000;"Powiat lubliniecki";3175,83;3304,27;3411,51;3558,10;3729,86;4296,91;4316,81;4660,07;5038,72;5685,44;6427,79;
2408000;"Powiat mikołowski";3333,56;3431,97;3657,03;3753,81;3899,02;4182,15;4611,31;5002,48;5294,33;5957,61;6733,88;
2409000;"Powiat myszkowski";3076,94;3171,04;3331,77;3454,79;3730,50;4029,82;4414,28;4532,46;5006,82;5629,12;6303,39;
2410000;"Powiat pszczyński";3148,91;3254,73;3372,27;3465,69;3588,61;4031,68;4426,94;4674,30;5270,28;5980,40;6607,42;
2411000;"Powiat raciborski";3422,60;3579,20;3735,23;3864,61;4143,91;4492,30;4814,65;5199,24;5907,56;6823,09;7283,63;
2412000;"Powiat rybnicki";3345,95;3508,61;3624,92;3685,58;4130,78;4073,76;4417,88;4686,71;5078,82;5660,84;6596,65;
2413000;"Powiat tarnogórski";3194,01;3307,26;3569,46;3745,06;3969,09;4364,71;4658,86;4858,37;5320,63;6218,12;7145,99;
2414000;"Powiat bieruńsko-lędziński";3463,60;3621,81;3657,77;3791,25;3987,44;4310,64;4545,54;4649,07;5054,59;5620,67;6356,50;
2415000;"Powiat wodzisławski";3000,56;3139,42;3211,61;3261,93;3448,06;3725,84;4031,73;4323,10;4708,55;5478,76;6189,57;
2416000;"Powiat zawierciański";3301,47;3507,52;3681,04;3840,22;4023,65;4368,35;4633,87;5001,44;5807,30;6438,58;6855,49;
2417000;"Powiat żywiecki";3845,17;4067,79;4059,16;4100,84;4515,28;4577,28;4766,30;5011,50;5437,65;6015,37;6593,79;
2461000;"Powiat m. Bielsko-Biała";3781,12;3930,33;4071,65;4245,15;4446,37;4731,61;5101,34;5321,66;5789,65;6434,35;7231,58;
2462000;"Powiat m. Bytom";3464,46;3542,70;4050,32;4024,91;4054,04;4322,58;4770,54;5117,47;5562,14;6303,49;7206,77;
2463000;"Powiat m. Chorzów";3540,84;3638,84;3754,13;3904,00;4087,57;4311,91;4656,18;4910,73;5282,22;5954,04;6555,69;
2464000;"Powiat m. Częstochowa";3445,39;3526,81;3644,53;3743,93;3954,16;4222,51;4547,34;4875,71;5307,19;6018,76;6715,44;
2465000;"Powiat m. Dąbrowa Górnicza";4324,15;4445,38;4613,23;4802,04;5096,32;5451,26;5632,06;5811,72;6360,81;7271,87;8029,95;
2466000;"Powiat m. Gliwice";4329,27;4482,68;4726,43;4832,33;5117,17;5451,31;5889,99;6164,02;6698,45;7469,70;8391,75;
2467000;"Powiat m. Jastrzębie-Zdrój";6384,43;6536,76;6182,71;6131,62;6609,12;8121,08;8443,25;8377,01;8987,51;0,00;0,00;
2468000;"Powiat m. Jaworzno";4704,74;4714,66;5333,82;5314,60;5370,16;5848,34;5831,21;5976,30;6435,97;7568,06;8417,97;
2469000;"Powiat m. Katowice";5270,37;5199,41;5262,02;5274,86;5290,36;5698,98;6175,80;6525,94;6924,74;8017,49;9105,52;
2470000;"Powiat m. Mysłowice";3618,74;3704,34;3787,80;3872,43;4074,53;4294,85;4627,91;4763,73;5216,97;5754,97;6438,78;
2471000;"Powiat m. Piekary Śląskie";3329,31;3594,01;3958,91;4235,29;4619,75;4868,16;5189,69;5375,03;5732,54;6550,47;7654,72;
2472000;"Powiat m. Ruda Śląska";3395,43;3438,13;3577,97;3719,66;3906,09;4081,18;4422,77;4816,21;5318,24;6006,82;6668,08;
2473000;"Powiat m. Rybnik";3507,69;3607,45;3762,40;3884,81;4122,16;4400,84;4784,77;4987,77;5447,31;6135,40;6938,12;
2474000;"Powiat m. Siemianowice Śląskie";3471,73;3625,95;3700,78;3844,70;4116,13;4380,81;4672,11;5005,69;5389,44;5955,67;6887,29;
2475000;"Powiat m. Sosnowiec";3480,50;3624,37;3706,45;3770,76;4139,10;4385,51;4754,35;5008,83;5551,62;6126,60;6973,22;
2476000;"Powiat m. Świętochłowice";3022,76;3145,07;3260,66;3353,91;3595,13;3915,87;4316,83;4609,16;4816,93;5653,41;6361,63;
2477000;"Powiat m. Tychy";3691,88;3819,32;4011,32;4141,97;4437,20;4630,83;4916,90;5269,32;5586,31;6236,50;7163,78;
2478000;"Powiat m. Zabrze";3673,41;3835,40;3955,12;4029,87;4202,39;4490,42;4980,04;5232,59;5824,86;6511,57;7438,82;
2479000;"Powiat m. Żory";3391,95;3534,18;3613,55;3747,77;3890,07;4263,76;4577,92;4781,16;5195,58;5747,61;6560,84;
2601000;"Powiat buski";3062,17;3158,01;3301,87;3400,24;3587,24;3846,44;4165,07;4375,49;4912,74;5412,76;6202,45;
2602000;"Powiat jędrzejowski";3629,28;3811,90;3900,83;3994,49;4177,28;4440,95;4717,56;4969,29;5350,78;5829,63;6607,59;
2603000;"Powiat kazimierski";3001,17;3055,63;3142,99;3240,31;3311,99;3544,35;3794,18;4235,96;4616,89;5097,28;5821,56;
2604000;"Powiat kielecki";3045,00;3095,16;3246,51;3289,77;3477,48;3777,02;4056,90;4355,66;4789,44;5289,72;5989,91;
2605000;"Powiat konecki";3157,76;3260,47;3355,31;3492,59;3585,89;3943,80;4188,50;4481,58;4922,90;5493,64;6106,87;
2606000;"Powiat opatowski";3085,06;3154,31;3255,65;3278,64;3456,29;3692,26;3939,62;4269,94;4619,32;5106,84;5804,43;
2607000;"Powiat ostrowiecki";3154,96;3225,91;3342,45;3423,02;3596,74;3813,50;4129,16;4448,08;4912,01;5388,69;6179,43;
2608000;"Powiat pińczowski";3130,97;3246,61;3349,30;3460,81;3673,89;3925,26;4145,06;4445,79;4885,52;5811,36;6467,94;
2609000;"Powiat sandomierski";3415,98;3526,06;3665,14;3753,75;3978,62;4359,40;4656,65;4966,33;5414,24;5954,75;6781,04;
2610000;"Powiat skarżyski";3280,83;3395,64;3448,29;3629,75;3859,44;3965,25;4399,33;4758,09;5118,05;5704,16;6633,92;
2611000;"Powiat starachowicki";3083,87;3199,99;3387,74;3444,11;4117,89;4170,22;4481,58;4690,70;5500,36;5730,06;6426,80;
2612000;"Powiat staszowski";3470,07;3589,54;3760,61;3939,91;4042,49;4271,73;4516,27;4825,77;5167,98;5856,73;6829,75;
2613000;"Powiat włoszczowski";3307,07;3382,92;3510,22;3591,87;3760,86;4089,25;4459,58;4722,28;5238,84;5982,40;6814,57;
2661000;"Powiat m. Kielce";3597,04;3669,64;3845,52;3920,24;4197,40;4493,16;4879,19;5218,61;5648,73;6185,40;7062,45;
2801000;"Powiat bartoszycki";3145,53;3269,83;3314,71;3449,70;3637,30;3779,51;4015,63;4589,11;4953,67;5411,23;6122,19;
2802000;"Powiat braniewski";3110,02;3208,18;3241,42;3352,72;3559,55;3713,26;4082,77;4460,29;4875,92;5368,32;6027,94;
2803000;"Powiat działdowski";2946,62;3045,94;3180,05;3302,85;3449,37;3698,59;3878,46;4145,80;4657,91;5273,63;6074,09;
2804000;"Powiat elbląski";3030,43;3113,02;3199,49;3323,73;3446,29;3735,95;3920,89;4268,29;4690,74;5206,08;5875,00;
2805000;"Powiat ełcki";3086,41;3164,08;3184,73;3286,44;3477,88;3693,95;4008,98;4364,74;4764,65;5238,03;6016,73;
2806000;"Powiat giżycki";3071,80;3273,35;3369,69;3446,45;3663,45;3901,14;4170,90;4515,13;4901,26;5498,08;6247,30;
2807000;"Powiat iławski";2955,21;3026,10;3172,70;3307,79;3455,52;3648,02;3892,75;4219,71;4557,38;5080,82;5813,96;
2808000;"Powiat kętrzyński";2920,07;3034,16;3165,43;3256,93;3467,16;3714,64;4039,89;4560,67;4881,27;5244,28;5812,87;
2809000;"Powiat lidzbarski";2969,52;3105,88;3248,95;3350,85;3445,72;3695,19;3947,00;4356,34;4700,72;5155,53;5937,86;
2810000;"Powiat mrągowski";2940,69;3037,05;3077,81;3193,85;3353,74;3594,78;3904,20;4311,00;4714,65;5298,87;5996,73;
2811000;"Powiat nidzicki";2876,70;2976,78;3079,14;3205,87;3334,80;3596,12;3853,58;4207,91;4657,75;5130,03;5748,08;
2812000;"Powiat nowomiejski";2819,36;2938,87;2878,10;3013,66;3221,93;3439,34;3732,36;3971,83;4342,17;4668,60;5242,25;
2813000;"Powiat olecki";3088,10;3251,89;3357,05;3430,34;3647,08;3877,74;4143,90;4438,76;4920,30;5397,85;6079,37;
2814000;"Powiat olsztyński";3259,80;3370,10;3559,63;3635,09;3781,68;4049,63;4367,81;4823,92;5205,74;5865,11;6561,71;
2815000;"Powiat ostródzki";3003,92;3122,59;3175,96;3392,59;3680,36;3926,12;4160,33;4440,69;4851,18;5403,55;6075,06;
2816000;"Powiat piski";3137,65;3271,93;3445,13;3561,61;3791,39;3944,22;4280,99;4633,18;4968,35;5580,91;6368,76;
2817000;"Powiat szczycieński";3242,04;3412,21;3482,48;3538,21;3699,06;3874,73;4177,74;4523,23;4946,10;5503,25;6197,95;
2818000;"Powiat gołdapski";2775,90;2956,47;3045,01;3149,86;3328,33;3542,46;3882,07;4227,65;4683,51;5136,51;5876,11;
2819000;"Powiat węgorzewski";2900,60;2983,79;3088,51;3160,33;3379,54;3515,17;3844,48;4314,62;4766,72;5338,94;6238,76;
2861000;"Powiat m. Elbląg";3488,01;3620,55;3687,80;3806,42;4044,35;4287,12;4512,03;4952,59;5423,69;5900,22;6801,75;
2862000;"Powiat m. Olsztyn";3795,30;3954,40;4104,05;4254,72;4427,76;4648,58;5018,92;5438,71;5902,66;6506,02;7386,70;
3001000;"Powiat chodzieski";3226,41;3303,09;3488,04;3532,53;3713,90;4079,72;4353,18;4550,77;5006,64;5542,99;6157,04;
3002000;"Powiat czarnkowsko-trzcianecki";3226,12;3410,14;3506,61;3699,41;3967,42;4299,93;4535,39;4869,30;5327,99;5808,58;6431,04;
3003000;"Powiat gnieźnieński";3143,38;3253,35;3386,42;3528,01;3774,18;4015,45;4265,39;4658,83;5162,09;5631,02;6326,21;
3004000;"Powiat gostyński";3238,49;3282,64;3415,02;3557,77;3760,40;4011,63;4316,45;4698,58;5174,68;5738,30;6455,99;
3005000;"Powiat grodziski";2945,14;2976,94;2931,27;3006,21;3316,55;3687,82;4017,37;4433,04;4675,12;5493,60;6233,27;
3006000;"Powiat jarociński";2729,43;2803,80;2898,12;3066,45;3340,73;3612,51;3897,09;4193,08;4720,74;5391,40;6018,31;
3007000;"Powiat kaliski";2826,99;3007,45;3035,70;3145,60;3353,48;3606,01;3970,36;4195,22;4553,66;5201,09;5987,02;
3008000;"Powiat kępiński";2456,46;2544,18;2568,52;2658,47;2960,24;3183,34;3537,58;3872,06;4244,56;4687,66;5319,34;
3009000;"Powiat kolski";3582,55;3624,38;3696,10;3808,90;4035,50;4183,24;4492,22;4895,57;5346,81;5976,51;6552,92;
3010000;"Powiat koniński";3297,59;3328,35;3319,18;3335,85;3439,22;3608,15;3795,47;4184,77;4457,33;4988,03;5665,09;
3011000;"Powiat kościański";3149,89;3257,11;3398,70;3491,93;3718,79;4085,02;4383,66;4582,74;5127,41;5931,56;6677,52;
3012000;"Powiat krotoszyński";2807,81;2849,87;2931,62;3202,47;3478,90;3722,41;3670,08;4020,71;4285,52;4772,92;5440,35;
3013000;"Powiat leszczyński";3533,58;3678,43;3812,62;3924,99;4213,65;4304,66;4578,34;4953,38;5274,63;6002,93;6713,55;
3014000;"Powiat międzychodzki";2996,65;3172,75;3207,93;3406,58;3623,06;3880,47;4097,52;4519,70;4891,36;5620,61;6176,39;
3015000;"Powiat nowotomyski";3283,41;3466,29;3547,42;3768,93;3989,83;4319,19;4434,29;4807,23;5215,49;5753,37;6461,00;
3016000;"Powiat obornicki";3214,37;3595,79;3620,93;3867,54;4101,05;4259,36;4484,38;4854,35;5236,25;5821,90;6446,61;
3017000;"Powiat ostrowski";3086,65;3212,43;3357,37;3576,57;3764,42;4080,99;4303,12;4542,09;4944,70;5499,39;6197,61;
3018000;"Powiat ostrzeszowski";3032,51;3193,68;3338,34;3509,40;3713,45;3905,96;4195,18;4488,82;4936,59;5479,65;6071,58;
3019000;"Powiat pilski";3539,58;3635,85;3569,05;3772,08;4006,13;4383,06;4628,67;4928,72;5371,98;6004,37;6794,93;
3020000;"Powiat pleszewski";3079,05;3190,51;3308,08;3399,21;3621,86;3869,29;4220,36;4471,48;4921,89;5559,50;6214,03;
3021000;"Powiat poznański";3513,25;3520,37;3676,21;3855,60;4018,59;4241,36;4624,14;4776,27;5054,35;5737,99;6458,00;
3022000;"Powiat rawicki";2829,57;2920,61;3045,68;3182,07;3442,45;3737,75;3976,06;4357,75;4698,39;5294,49;6006,06;
3023000;"Powiat słupecki";2951,09;3093,66;3171,47;3317,41;3564,41;3862,22;4166,29;4690,36;4990,83;5450,67;6063,01;
3024000;"Powiat szamotulski";3821,96;3817,63;3975,80;4196,53;4482,73;4680,51;5000,11;5274,57;5726,53;6309,72;6930,64;
3025000;"Powiat średzki";3310,35;3466,94;3626,56;3785,23;4102,74;4440,62;4718,06;5004,44;5473,17;6078,30;6736,22;
3026000;"Powiat śremski";3060,02;3108,41;3250,33;3411,22;3639,72;3861,64;4154,88;4480,42;4935,64;5376,46;6062,53;
3027000;"Powiat turecki";2959,12;3025,00;2999,24;3167,19;3391,97;3579,72;3862,59;4266,25;4404,21;5049,40;5751,05;
3028000;"Powiat wągrowiecki";3074,53;3135,77;3346,90;3488,88;3679,03;3912,65;4177,82;4491,29;4879,33;5319,73;6130,17;
3029000;"Powiat wolsztyński";2812,19;3013,55;3189,94;3315,96;3517,60;3856,99;4122,57;4489,74;4899,60;5635,22;6226,06;
3030000;"Powiat wrzesiński";3083,46;3264,85;3406,61;3607,50;3928,55;4246,77;4534,94;4779,96;5142,47;5758,50;6441,44;
3031000;"Powiat złotowski";2969,30;3019,42;3114,52;3221,67;3397,81;3553,95;3823,24;4041,17;4301,59;4964,93;5550,19;
3061000;"Powiat m. Kalisz";3264,40;3395,84;3532,30;3648,00;3889,60;4124,83;4430,37;4718,01;5158,07;5781,36;6617,76;
3062000;"Powiat m. Konin";3546,68;3653,29;3790,14;3785,02;3930,94;4215,68;4512,50;4858,06;5369,58;5913,95;6634,81;
3063000;"Powiat m. Leszno";3225,98;3362,89;3427,70;3406,02;3745,94;4083,89;4271,73;4824,14;5000,33;5831,34;6736,54;
3064000;"Powiat m. Poznań";4256,82;4354,40;4549,11;4770,94;5062,37;5355,57;5713,03;6104,97;6662,69;7362,74;8303,38;
3201000;"Powiat białogardzki";3185,19;3340,94;3394,74;3607,49;3756,70;4093,01;4287,47;4672,61;5146,91;5746,07;6472,12;
3202000;"Powiat choszczeński";3163,56;3305,47;3397,02;3514,69;3775,03;3951,70;4160,89;4599,57;4981,01;5575,63;6256,58;
3203000;"Powiat drawski";2909,17;2999,87;3068,19;3197,08;3402,35;3751,47;3982,85;4416,33;4789,08;5323,36;6073,21;
3204000;"Powiat goleniowski";3411,12;3511,95;3681,15;3872,80;4220,58;4574,30;4775,51;5102,94;5439,72;5991,11;6734,89;
3205000;"Powiat gryficki";2935,53;3057,57;3184,98;3333,02;3500,89;3776,55;4052,14;4388,97;4745,48;5364,42;6157,01;
3206000;"Powiat gryfiński";3327,05;3399,34;3534,88;3682,14;3848,29;4170,81;4465,67;4898,41;5297,93;5878,75;6665,53;
3207000;"Powiat kamieński";3041,77;3123,30;3201,23;3329,25;3525,59;3706,74;4034,80;4304,58;4623,87;5326,89;6058,19;
3208000;"Powiat kołobrzeski";3199,39;3311,54;3391,16;3504,44;3751,26;3988,20;4331,04;4575,02;5000,76;5585,13;6427,16;
3209000;"Powiat koszaliński";3200,10;3310,28;3430,31;3558,15;3677,01;3919,20;4204,61;4616,89;5100,02;5601,77;6355,69;
3210000;"Powiat myśliborski";3315,48;3344,71;3382,88;3543,66;3810,17;3956,46;4206,22;4503,53;4927,15;5671,63;6403,68;
3211000;"Powiat policki";4006,56;4139,86;4309,12;4506,56;4624,12;4908,94;5169,21;5535,45;5844,37;6622,81;7366,79;
3212000;"Powiat pyrzycki";2964,75;3091,46;3189,06;3429,38;3612,65;3923,66;4134,08;4428,81;5265,00;5694,42;6341,32;
3213000;"Powiat sławieński";2958,67;3057,18;3120,70;3252,37;3472,79;3770,34;4010,20;4350,66;4747,64;5260,40;5911,21;
