"Kod";"Nazwa";"ogółem;ogółem;2013;[szt.]";"ogółem;ogółem;2014;[szt.]";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;ogółem;2019;[szt.]";"ogółem;ogółem;2020;[szt.]";"ogółem;ogółem;2021;[szt.]";"ogółem;ogółem;2022;[szt.]";"ogółem;ogółem;2023;[szt.]";
0802000;"Powiat krośnieński";163;184;108;186;143;272;234;222;188;153;148;
0803000;"Powiat międzyrzecki";176;197;186;221;206;242;198;299;290;232;205;
0804000;"Powiat nowosolski";206;216;211;220;243;329;372;447;536;427;454;
0805000;"Powiat słubicki";188;243;270;283;293;270;362;278;299;362;247;
0806000;"Powiat strzelecko-drezdenecki";150;161;133;158;185;127;124;168;208;217;132;
0807000;"Powiat sulęciński";76;59;91;119;100;128;116;56;135;93;196;
0808000;"Powiat świebodziński";202;204;231;276;293;276;349;233;423;342;287;
0809000;"Powiat zielonogórski";201;147;145;179;166;268;244;322;279;249;251;
0810000;"Powiat żagański";215;191;94;265;317;327;395;334;409;345;352;
0811000;"Powiat żarski";396;305;379;399;525;446;416;414;480;436;478;
0812000;"Powiat wschowski";40;41;47;54;51;82;80;106;108;129;105;
0861000;"Powiat m. Gorzów Wielkopolski";1072;1041;1081;1285;1221;1725;1346;1216;1452;1303;1187;
0862000;"Powiat m. Zielona Góra";745;599;779;958;1167;1866;1691;2012;1870;1666;1736;
1001000;"Powiat bełchatowski";204;271;311;297;325;343;320;279;415;347;331;
1002000;"Powiat kutnowski";139;116;24;64;161;238;211;197;360;307;423;
1003000;"Powiat łaski";54;47;59;62;60;74;110;53;72;54;67;
1004000;"Powiat łęczycki";38;28;37;47;39;57;62;47;60;56;68;
1005000;"Powiat łowicki";67;60;70;83;88;95;80;58;71;65;104;
1006000;"Powiat łódzki wschodni";32;40;39;21;43;37;67;47;87;62;75;
1007000;"Powiat opoczyński";62;49;53;46;68;82;82;64;102;141;85;
1008000;"Powiat pabianicki";196;192;199;265;264;293;277;393;436;377;585;
1009000;"Powiat pajęczański";20;14;24;8;5;11;19;9;19;59;11;
1010000;"Powiat piotrkowski";8;11;9;12;21;28;17;28;36;43;28;
1011000;"Powiat poddębicki";65;41;91;34;84;57;35;29;98;36;61;
1012000;"Powiat radomszczański";51;61;62;76;130;148;121;101;166;213;180;
1013000;"Powiat rawski";30;30;49;70;54;37;63;37;68;123;52;
1014000;"Powiat sieradzki";153;149;152;156;166;161;235;147;256;147;224;
1015000;"Powiat skierniewicki";0;0;7;0;5;0;11;6;3;0;6;
1016000;"Powiat tomaszowski";134;142;194;235;264;278;272;295;402;309;304;
1017000;"Powiat wieluński";44;44;29;36;30;105;86;119;50;84;105;
1018000;"Powiat wieruszowski";17;23;59;65;31;112;59;64;102;65;84;
1019000;"Powiat zduńskowolski";91;103;88;74;163;136;178;126;133;157;207;
1020000;"Powiat zgierski";365;312;341;333;446;402;452;492;488;360;438;
1021000;"Powiat brzeziński";23;32;36;75;35;53;64;66;65;52;51;
1061000;"Powiat m. Łódź";4727;4150;4830;5427;5323;7029;7313;8049;9291;7168;8629;
1062000;"Powiat m. Piotrków Trybunalski";153;211;242;210;266;217;360;345;476;470;510;
1063000;"Powiat m. Skierniewice";184;161;202;164;165;260;315;181;245;333;233;
1201000;"Powiat bocheński";104;127;142;110;142;81;119;216;177;349;217;
1202000;"Powiat brzeski";14;25;40;32;53;69;46;41;37;75;140;
1203000;"Powiat chrzanowski";154;212;211;291;317;351;274;254;400;367;317;
1204000;"Powiat dąbrowski";17;7;9;26;17;16;19;27;49;142;102;
1205000;"Powiat gorlicki";75;62;71;66;63;53;104;64;51;107;100;
1206000;"Powiat krakowski";163;167;240;313;287;440;738;916;924;741;680;
1207000;"Powiat limanowski";33;46;46;45;37;49;46;51;77;81;74;
1208000;"Powiat miechowski";40;18;34;20;25;27;18;22;36;26;66;
1209000;"Powiat myślenicki";54;48;47;84;139;118;56;140;94;120;152;
1210000;"Powiat nowosądecki";161;153;175;166;141;160;145;121;175;177;364;
1211000;"Powiat nowotarski";110;71;89;102;116;230;230;226;221;164;306;
1212000;"Powiat olkuski";151;181;193;161;137;157;160;142;286;217;321;
1213000;"Powiat oświęcimski";195;249;283;326;363;447;434;446;439;610;529;
