"Kod";"Nazwa";"ogółem;ogółem;2013;[szt.]";"ogółem;ogółem;2014;[szt.]";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;ogółem;2019;[szt.]";"ogółem;ogółem;2020;[szt.]";"ogółem;ogółem;2021;[szt.]";"ogółem;ogółem;2022;[szt.]";"ogółem;ogółem;2023;[szt.]";
2813000;"Powiat olecki";88;109;120;176;158;195;153;171;206;176;269;
2814000;"Powiat olsztyński";91;363;490;677;707;984;1019;720;1178;785;974;
2815000;"Powiat ostródzki";301;363;377;343;422;505;459;623;503;1046;547;
2816000;"Powiat piski";153;145;159;231;266;220;213;173;231;210;248;
2817000;"Powiat szczycieński";185;163;167;230;257;217;265;273;279;306;228;
2818000;"Powiat gołdapski";79;87;112;103;110;129;154;92;128;98;98;
2819000;"Powiat węgorzewski";61;65;53;68;71;91;102;94;162;117;65;
2861000;"Powiat m. Elbląg";559;611;610;561;1020;965;1024;1325;1269;1283;1260;
2862000;"Powiat m. Olsztyn";1844;1864;1804;1450;2042;1984;2132;2121;2519;2273;2372;
3001000;"Powiat chodzieski";59;58;65;78;143;94;99;68;176;126;120;
3002000;"Powiat czarnkowsko-trzcianecki";128;180;173;124;138;95;134;113;143;188;125;
3003000;"Powiat gnieźnieński";344;286;209;338;364;351;525;488;777;507;466;
3004000;"Powiat gostyński";86;78;102;132;178;178;209;127;299;237;172;
3005000;"Powiat grodziski";65;80;85;101;129;126;105;152;156;268;146;
3006000;"Powiat jarociński";43;64;47;109;132;165;182;297;405;298;480;
3007000;"Powiat kaliski";8;11;17;19;7;17;20;10;16;15;46;
3008000;"Powiat kępiński";8;10;8;8;69;79;142;148;200;205;214;
3009000;"Powiat kolski";49;56;69;65;77;69;86;108;111;90;105;
3010000;"Powiat koniński";4;9;34;47;58;80;39;56;69;96;84;
3011000;"Powiat kościański";124;112;138;168;183;244;212;344;284;295;279;
3012000;"Powiat krotoszyński";140;153;160;204;167;156;269;221;163;215;286;
3013000;"Powiat leszczyński";8;4;31;69;108;168;154;260;296;295;274;
3014000;"Powiat międzychodzki";75;83;97;94;85;95;78;89;143;96;72;
3015000;"Powiat nowotomyski";118;161;187;178;146;192;154;196;262;269;267;
3016000;"Powiat obornicki";136;154;147;225;134;256;291;368;326;356;303;
3017000;"Powiat ostrowski";10;37;181;170;400;571;478;487;636;586;421;
3018000;"Powiat ostrzeszowski";49;47;56;67;54;98;35;89;37;77;92;
3019000;"Powiat pilski";253;288;377;457;483;588;624;718;993;835;830;
3020000;"Powiat pleszewski";74;84;94;95;63;58;74;55;156;288;154;
3021000;"Powiat poznański";1997;2158;2066;1650;949;3397;3633;3485;2536;2710;4519;
3022000;"Powiat rawicki";91;68;86;101;141;175;179;165;125;149;218;
3023000;"Powiat słupecki";51;30;59;51;60;49;95;82;107;113;109;
3024000;"Powiat szamotulski";80;98;41;230;317;290;400;449;469;332;306;
3025000;"Powiat średzki";49;46;73;172;221;337;234;97;208;381;389;
3026000;"Powiat śremski";91;63;86;71;193;328;257;331;271;286;212;
3027000;"Powiat turecki";127;104;100;152;197;132;115;121;216;236;128;
3028000;"Powiat wągrowiecki";117;175;182;224;159;189;207;163;305;299;320;
3029000;"Powiat wolsztyński";64;37;43;32;90;111;75;126;143;158;71;
3030000;"Powiat wrzesiński";269;227;377;414;831;656;630;754;608;514;545;
3031000;"Powiat złotowski";108;165;220;201;242;181;312;240;304;335;292;
3061000;"Powiat m. Kalisz";382;291;318;397;535;653;704;654;750;800;657;
3062000;"Powiat m. Konin";248;275;340;334;304;432;388;399;656;403;416;
3063000;"Powiat m. Leszno";198;174;276;230;406;346;433;519;535;601;449;
3064000;"Powiat m. Poznań";4960;5259;5857;6115;6518;7538;3644;4529;6382;9254;8680;
3201000;"Powiat białogardzki";107;140;144;157;183;229;231;182;235;210;184;
3202000;"Powiat choszczeński";83;111;129;154;134;193;196;174;227;165;213;
3203000;"Powiat drawski";119;118;139;189;166;186;208;178;212;180;191;
3204000;"Powiat goleniowski";302;299;273;272;296;342;357;284;249;275;384;
3205000;"Powiat gryficki";155;174;163;180;199;248;254;250;384;770;315;
3206000;"Powiat gryfiński";235;189;237;244;265;278;286;256;429;330;440;
3207000;"Powiat kamieński";329;312;183;332;388;424;388;480;349;865;375;
3208000;"Powiat kołobrzeski";701;659;508;591;325;1200;758;411;2002;1368;1158;
3209000;"Powiat koszaliński";262;325;190;268;305;461;634;509;565;443;358;
3210000;"Powiat myśliborski";145;150;185;216;204;226;232;226;327;224;202;
3211000;"Powiat policki";418;392;281;428;328;412;597;376;724;828;654;
3212000;"Powiat pyrzycki";73;86;102;99;100;114;149;130;155;125;111;
3213000;"Powiat sławieński";136;205;226;197;307;252;294;349;421;441;368;
3214000;"Powiat stargardzki";440;576;514;543;667;889;685;951;907;834;1095;
3215000;"Powiat szczecinecki";238;280;280;292;406;477;499;598;565;318;459;
3216000;"Powiat świdwiński";121;115;118;155;146;206;169;202;206;200;197;
3217000;"Powiat wałecki";114;130;175;149;199;191;231;244;262;198;272;
3218000;"Powiat łobeski";91;101;111;118;122;114;132;93;139;138;172;
3261000;"Powiat m. Koszalin";445;453;478;593;714;693;519;0;0;0;993;
3262000;"Powiat m. Szczecin";3172;3011;2763;3758;4178;4244;3531;230;689;155;422;
3263000;"Powiat m. Świnoujście";170;218;252;253;403;299;343;369;417;506;349;
